iter	RMSE
0	4.577528104
1	4.384820251
2	4.20268769
3	4.030359764
4	3.867636553
5	3.713340762
6	3.568622431
7	3.431865727
8	3.30281664
9	3.18100735
10	3.06712518
11	2.959612389
12	2.858697552
13	2.764084857
14	2.675885921
15	2.592864924
16	2.515476006
17	2.44299464
18	2.374971341
19	2.311979918
20	2.252442686
21	2.197795322
22	2.146715931
23	2.09888817
24	2.05464432
25	2.013537246
26	1.975232
27	1.940079849
28	1.907339444
29	1.877221653
30	1.848977167
31	1.82282985
32	1.798799996
33	1.776612189
34	1.756154616
35	1.737337979
36	1.719939492
37	1.703782083
38	1.688512592
39	1.674814778
40	1.662309901
41	1.650529111
42	1.639581512
43	1.629700067
44	1.620484857
45	1.612019446
46	1.603903065
47	1.596535741
48	1.589100885
49	1.583002729
50	1.577238884
51	1.572095956
52	1.566686802
53	1.562089326
54	1.557857664
55	1.55331222
56	1.549820387
57	1.545869701
58	1.542398508
59	1.538801292
60	1.535880203
61	1.532949746
62	1.530488475
63	1.52792671
64	1.525864051
65	1.523494926
66	1.521418803
67	1.519294201
68	1.517393247
69	1.51572322
70	1.513748233
71	1.512168476
72	1.510744818
73	1.509538577
74	1.508037333
75	1.506868235
76	1.505567291
77	1.504518982
78	1.503497749
79	1.50241148
80	1.501406811
81	1.500552045
82	1.499431133
83	1.498613372
84	1.497893292
85	1.497195578
86	1.496372755
87	1.495698501
88	1.49486046
89	1.493967882
90	1.493334225
91	1.492817399
92	1.491947374
93	1.491444083
94	1.490821582
95	1.490340501
96	1.489855294
97	1.489406395
98	1.488587146
99	1.488062913
