iter	Passed	Remaining
0	145	14448
1	196	9650
2	238	7727
3	282	6778
4	326	6201
5	370	5798
6	413	5498
7	457	5257
8	498	5041
9	541	4870
10	584	4726
11	628	4606
12	669	4481
13	712	4377
14	754	4274
15	797	4186
16	840	4102
17	882	4019
18	924	3942
19	966	3866
20	1007	3790
21	1049	3719
22	1090	3650
23	1136	3599
24	1178	3535
25	1221	3475
26	1263	3415
27	1306	3360
28	1348	3300
29	1389	3242
30	1431	3185
31	1471	3127
32	1511	3068
33	1551	3010
34	1592	2957
35	1632	2901
36	1672	2847
37	1713	2795
38	1754	2744
39	1796	2695
40	1836	2642
41	1877	2592
42	1918	2542
43	1958	2492
44	1997	2441
45	2038	2392
46	2082	2348
47	2134	2312
48	2178	2267
49	2220	2220
50	2264	2176
51	2307	2129
52	2350	2084
53	2394	2040
54	2460	2012
55	2505	1968
56	2546	1921
57	2591	1876
58	2634	1830
59	2677	1785
60	2720	1739
61	2763	1693
62	2804	1647
63	2846	1601
64	2886	1554
65	2927	1508
66	2968	1462
67	3009	1416
68	3051	1370
69	3090	1324
70	3132	1279
71	3177	1235
72	3220	1191
73	3260	1145
74	3306	1102
75	3347	1057
76	3390	1012
77	3432	968
78	3474	923
79	3517	879
80	3558	834
81	3601	790
82	3642	745
83	3682	701
84	3722	656
85	3763	612
86	3805	568
87	3845	524
88	3887	480
89	3929	436
90	3969	392
91	4009	348
92	4051	304
93	4091	261
94	4132	217
95	4175	173
96	4216	130
97	4257	86
98	4301	43
99	4344	0
